Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-10-16 21:44:20;2018-10-17 06:27:25;78%;8:43;;;0;0
2018-10-17 21:37:48;2018-10-18 06:29:51;78%;8:52;;;0;0
2018-10-18 21:45:30;2018-10-19 06:29:17;78%;8:43;;;0;0
2018-10-19 21:58:56;2018-10-20 06:30:32;78%;8:31;;;0;0
2018-10-20 21:45:31;2018-10-21 06:29:21;83%;8:43;;;0;400
2018-10-21 22:43:29;2018-10-22 06:30:38;62%;7:47;;;0;522
2018-10-22 21:38:56;2018-10-23 06:29:06;86%;8:50;;;0;230
2018-10-23 21:35:20;2018-10-24 06:30:51;72%;8:55;;;0;0
2018-10-24 22:28:09;2018-10-25 06:29:52;80%;8:01;;;0;0
2018-10-25 22:15:23;2018-10-26 06:29:57;68%;8:14;;;0;153
2018-10-27 01:20:44;2018-10-27 09:30:53;86%;8:10;;;0;0
2018-10-27 22:02:05;2018-10-28 06:22:17;73%;8:20;;;0;0
2018-10-28 21:18:43;2018-10-29 06:24:50;90%;9:06;;;0;411
2018-10-29 22:26:35;2018-10-30 06:59:55;83%;8:33;;;0;669
2018-10-30 22:08:40;2018-10-31 06:49:43;80%;8:41;;;0;682
2018-10-31 22:53:36;2018-11-01 06:47:56;69%;7:54;;;0;0
2018-11-01 21:32:59;2018-11-02 06:45:57;82%;9:12;;;0;0
2018-11-03 23:19:43;2018-11-04 06:27:24;73%;8:07;;;0;0
2018-11-04 20:46:07;2018-11-05 05:59:44;91%;9:13;;;0;113
2018-11-05 20:28:14;2018-11-06 05:58:00;78%;9:29;;;0;522
2018-11-06 20:59:49;2018-11-07 05:56:23;83%;8:56;;;0;379
